ioc_id,pattern_code,pattern_name,pincode,district,state,date_detected,first_date,last_date,risk_score,risk_level,indicator_value,threshold,description,recommended_action,alert_id,alert_status,assigned_to,created_at,priority
IOC-MPS-049606,MPS,Multi-PIN Synchronization,"122103, 122104, 122105, 122107, 122108...",Mewat,Haryana,2026-01-12,N/A,N/A,10.0,HIGH,0.75,0.3,Synchronized spike across 6 PINs (75%) in district Mewat,INVESTIGATE: District-wide audit required. Check for common operators/centers across flagged PINs.,ALERT-000001,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-028654,BIO,Biometric Churn,451551,Barwani,Madhya Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.537618444522594,HIGH,7.4029275808936825,0.3,Biometric recapture ratio 740.3% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001077,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-046327,CPS,Coordinated PIN Spike,451551,Barwani,Madhya Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.537618444522594,HIGH,77.98069318730126,6.0,"Coordinated spike: Enrollment 115.4x, Demo 72.3x, Bio 46.3x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001076,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-002645,MES,Mass Enrollment Spike,451551,Barwani,Madhya Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.537618444522594,HIGH,115.37777777777778,4.0,Enrollment velocity 115.38x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001075,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-010316,DMS,Demographic Surge,451551,Barwani,Madhya Pradesh,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.537618444522594,HIGH,72.31159420289855,3.0,Demographic update velocity 72.31x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001074,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-DMS-009017,DMS,Demographic Surge,385535,Banaskantha,Gujarat,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.540737058286216,HIGH,27.42753623188406,3.0,Demographic update velocity 27.43x exceeds threshold of 3.0x,Sample audit of recent demographic updates. Flag for supervisor review.,ALERT-001073,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045684,CPS,Coordinated PIN Spike,385535,Banaskantha,Gujarat,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.540737058286216,HIGH,37.45092229256411,6.0,"Coordinated spike: Enrollment 59.8x, Demo 27.4x, Bio 25.2x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001072,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-MES-001542,MES,Mass Enrollment Spike,385535,Banaskantha,Gujarat,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.540737058286216,HIGH,59.75555555555555,4.0,Enrollment velocity 59.76x exceeds threshold of 4.0x,Schedule field verification within 48 hours. Review enrollment center logs.,ALERT-001071,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-BIO-022194,BIO,Biometric Churn,385535,Banaskantha,Gujarat,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.540737058286216,HIGH,7.778356266269989,0.3,Biometric recapture ratio 777.8% exceeds threshold of 30%,Operator performance review. Compare biometric quality scores over time.,ALERT-001070,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
IOC-CPS-045191,CPS,Coordinated PIN Spike,854304,Purnia,Bihar,2026-01-12,2025-04-01 00:00:00,2025-12-31 00:00:00,6.543504421771501,HIGH,36.6949621258364,6.0,"Coordinated spike: Enrollment 45.6x, Demo 36.3x, Bio 28.1x",Multi-dimensional audit within 72 hours. Cross-reference with nearby PINs.,ALERT-001069,OPEN,UNASSIGNED,2026-01-12 19:38:53,2
